Started in hybrid online/batch training mode.
Sequences will be shuffled within and across mini-batches during training.
The trained network will be written to 'savedNetwork.jsn'.
WARNING: The output file 'savedNetwork.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Test error will be calculated every 10 epochs.
Training will be stopped after 200 epochs or if there is no new lowest validation error within 20 epochs.
Autosave on BEST VALIDATION ERROR enabled.
WARNING: CUDA option not set. Computations will be performed on the CPU!
Uniform distribution with range [-0.1, 0.1]. Random seed: 3864690467

Reading network from 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\network.jsn'... done.

Loading training set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\trainingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\6fee-5c59-3572-5e43
... done.
Loaded fraction:  100%
Sequences:        3566
Sequence lengths: 2..551
Total timesteps:  231600

Loading validation set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\validationNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b9b8-1d2b-33b1-2653
... done.
Loaded fraction:  100%
Sequences:        1024
Sequence lengths: 2..294
Total timesteps:  49630

Loading test set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\testingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b884-4131-ea6d-803f
... done.
Loaded fraction:  100%
Sequences:        1646
Sequence lengths: 5..329
Total timesteps:  49479

Creating the neural network... done.
Layers:
(0) input [size: 36]
(1) blstm [size: 450, bias: 1.0, weights: 472950]
(2) softmax [size: 14, bias: 1.0, weights: 6314]
(3) multiclass_classification [size: 14]
Total weights: 479264


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       200
Max epochs until new best: 20
Validation error every:    1
Test error every:          10
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best
   148 |    498.7 | 11.80%    23.417 | 15.05%    22.061 |                  |  no
   149 |    493.7 | 11.78%    23.288 | 14.58%    21.631 |                  |  no
   150 |    524.0 | 11.66%    23.159 | 14.67%    21.606 | 18.86%    17.116 |  yes
   151 |    496.6 | 11.58%    23.042 | 14.64%    21.669 |                  |  no
   152 |    494.8 | 11.51%    22.911 | 14.64%    21.705 |                  |  no
   153 |    497.0 | 11.48%    22.775 | 14.40%    21.546 |                  |  yes
   154 |    500.5 | 11.34%    22.658 | 14.44%    21.424 |                  |  yes
   155 |    500.0 | 11.34%    22.557 | 14.51%    21.521 |                  |  no
   156 |    494.1 | 11.26%    22.415 | 14.52%    21.433 |                  |  no
   157 |    493.6 | 11.20%    22.289 | 14.72%    22.006 |                  |  no
   158 |    493.5 | 11.14%    22.174 | 14.41%    21.481 |                  |  no
   159 |    494.0 | 11.09%    22.078 | 14.40%    21.429 |                  |  no
   160 |    524.0 | 10.98%    21.947 | 14.39%    21.339 | 18.84%    17.100 |  yes
   161 |    499.0 | 10.95%    21.831 | 14.19%    21.208 |                  |  yes
   162 |    492.3 | 10.87%    21.713 | 14.34%    21.459 |                  |  no
   163 |    488.6 | 10.78%    21.568 | 14.28%    21.426 |                  |  no
   164 |    489.2 | 10.73%    21.447 | 14.48%    21.338 |                  |  no
   165 |    489.3 | 10.70%    21.352 | 14.42%    21.341 |                  |  no
   166 |    489.4 | 10.66%    21.230 | 14.44%    21.250 |                  |  no
   167 |    488.7 | 10.54%    21.073 | 14.47%    21.466 |                  |  no
   168 |    491.3 | 10.50%    21.014 | 14.21%    21.143 |                  |  yes
   169 |    492.0 | 10.47%    20.939 | 14.24%    21.244 |                  |  no
   170 |    520.5 | 10.35%    20.787 | 14.10%    21.132 | 18.36%    16.962 |  yes
   171 |    493.1 | 10.29%    20.674 | 14.21%    21.127 |                  |  yes
   172 |    493.4 | 10.23%    20.533 | 14.16%    21.151 |                  |  no
   173 |    491.3 | 10.21%    20.454 | 14.23%    21.259 |                  |  no
   174 |    490.9 | 10.11%    20.320 | 14.15%    21.162 |                  |  no
   175 |    491.9 | 10.13%    20.249 | 14.41%    21.370 |                  |  no
   176 |    490.5 | 10.05%    20.103 | 14.30%    21.396 |                  |  no
   177 |    491.2 |  9.95%    19.980 | 14.36%    21.349 |                  |  no
   178 |    490.4 |  9.84%    19.866 | 14.16%    21.338 |                  |  no
   179 |    494.1 |  9.83%    19.813 | 14.03%    21.084 |                  |  yes
   180 |    526.9 |  9.78%    19.685 | 14.16%    21.249 | 18.46%    17.060 |  no
   181 |    495.2 |  9.70%    19.544 | 14.11%    21.101 |                  |  no
   182 |    496.6 |  9.61%    19.413 | 14.30%    21.415 |                  |  no
   183 |    497.7 |  9.60%    19.360 | 14.16%    21.259 |                  |  no
   184 |    497.0 |  9.53%    19.213 | 14.32%    21.442 |                  |  no
